OK?,Trigger,Entity,Contains,String Before,String After,Existing Links,P(Entity -> Trigger),P(Trigger -> Entity),P(word -> Trigger)
TRUE,Chicago,Chicago - Wikidata (Q1297),1,0,0,3,0.7079595742,0.8036180973,0.4079014087
TRUE,Clinton,Hillary Clinton - Wikidata (Q6294),1,0.5333333333,0,1504,0.04557640751,0.0699862772,0.4463648352
FALSE,Clinton,Bill Clinton - Wikidata (Q1124),1,0.4166666667,0,2,0.05950279494,0.1585963537,0.4463648352
FALSE,After,September 11 attacks - Wikidata (Q10806),0,1.00E+00,1,2,7.93E-05,0.01086956522,0.008811888428
FALSE,Arkansas,University of Arkansas - Wikidata (Q1070333),1,0.6363636364,0,5,0.1803490627,0.02861245001,0.4020355649
FALSE,2008,2008 United States presidential election - Wikidata (Q45578),1,0,0.9,6,0.4088620342,0.02600605313,0.06166098698
TRUE,delegates,delegate - Wikidata (Q994779),0,1,1,4,0.130794702,0.5642857143,0.01410153102
FALSE,responded,2006 Lebanon War - Wikidata (Q49104),0,1,1,3,0.0007027406887,0.125,0.0004055478952
FALSE,agreement,Joint Comprehensive Plan of Action - Wikidata (Q17001802),0,1,1,10,0.02272727273,0.02010050251,0.04346663611
FALSE,after,September 11 attacks - Wikidata (Q10806),0,1.00E+00,1,2,7.93E-05,0.01086956522,0.002688258475
TRUE,Obama,Barack Obama - Wikidata (Q76),1,0.5833333333,0,6,0.05252816348,0.7268882175,0.3667646919
FALSE,Obama,presidency of Barack Obama - Wikidata (Q1379733),1,0.8076923077,0,2,0.01550387597,0.01329305136,0.3667646919
FALSE,second,World War II (Q362),0,1,1,3,0.0006550003821,0.03609022556,0.02718430156
FALSE,presidential,2008 United States presidential election - Wikidata (Q45578),1,0.475,0.225,6,0.006294058409,0.01640419948,0.322247273
FALSE,presidential,President of the United States - Wikidata (Q11696),0,1,1,5,0.01857131544,0.3077427822,0.322247273
FALSE,2016,2016 United States presidential election - Wikidata (Q699872),1,0,0.9,2,0.3883289125,0.02209144409,0.04912069819
TRUE,President,President of the United States - Wikidata (Q11696),1,0,0.7,5,0.4124891106,0.2405440355,0.198090754
TRUE,Senator,United States Senate - Wikidata (Q66096),0,1,1,3,0.1075442972,0.2958210817,0.1899334192
TRUE,president,President of the United States - Wikidata (Q11696),1,0,0.7,5,0.4124891106,0.2405440355,0.03508743968
FALSE,election,2016 United States presidential election - Wikidata (Q699872),1,0.8,0,2,0.00875331565,0.01013513514,0.3743387976
TRUE,Republican,Republican Party - Wikidata (Q29468),1,0,0.375,1,0.6733411025,0.9096959649,0.3059328176
FALSE,life,Life - Wikidata (Q463198),1,0,0,1,0.6940278157,0.414697735,0.0298303187
FALSE,politically,soft power - Wikidata (Q1143951),0,1,1,2,0.005128205128,0.01449275362,0.02572841165
FALSE,political,political science - Wikidata (Q36442),1,0,0.4705882353,2,0.004795013186,0.01813236627,0.08060559765
TRUE,Goldwater,Barry Goldwater - Wikidata (Q319129),1,0.4,0,2,0.03719008264,0.63,0.4333011893
